ip,isBad
104.28.0.228,TRUE
162.255.119.111,TRUE
50.63.202.64,TRUE
138.68.250.6,TRUE
217.160.0.23,TRUE
50.63.202.94,TRUE
173.231.204.170,TRUE
184.168.221.79,TRUE
184.168.221.47,TRUE
23.230.206.169,TRUE
62.149.128.166,TRUE
108.179.242.36,TRUE
45.80.189.1,TRUE
98.124.199.90,TRUE
184.168.221.59,TRUE
45.79.163.44,TRUE
184.168.221.78,TRUE
167.114.205.125,TRUE
198.71.233.254,TRUE
13.209.184.185,TRUE
162.255.119.53,TRUE
217.8.117.31,TRUE
34.250.168.42,TRUE
96.30.1.237,TRUE
216.250.114.109,TRUE
185.143.234.5,TRUE
217.61.97.157,TRUE
207.244.100.246,TRUE
143.204.202.118,TRUE
198.251.81.225,TRUE
34.65.228.161,TRUE
67.222.38.64,TRUE
68.66.248.13,TRUE
63.250.38.195,TRUE
198.185.159.144,TRUE
104.31.80.9,TRUE
70.40.217.80,TRUE
192.64.119.170,TRUE
216.239.32.21,TRUE
66.96.162.129,TRUE
213.190.6.114,TRUE
35.186.238.101,TRUE
216.92.229.16,TRUE
185.135.240.13,TRUE
52.213.114.86,TRUE
81.169.145.70,TRUE
192.185.41.203,TRUE
51.77.204.78,TRUE
166.62.10.36,TRUE
66.96.162.130,TRUE
185.199.108.153,TRUE
162.255.119.214,TRUE
192.254.224.60,TRUE
108.167.141.112,TRUE
151.101.1.195,TRUE
192.64.119.40,TRUE
35.209.225.45,TRUE
81.17.18.195,TRUE
193.141.3.69,TRUE
205.186.144.130,TRUE
104.31.79.151,TRUE
104.28.25.55,TRUE
81.17.18.198,TRUE
199.188.200.226,TRUE
108.179.194.94,TRUE
192.185.85.251,TRUE
74.208.236.48,TRUE
66.235.200.145,TRUE
162.255.119.54,TRUE
208.113.152.112,TRUE
213.133.104.4,TRUE
184.168.221.80,TRUE
23.229.173.104,TRUE
23.229.249.39,TRUE
62.149.128.157,TRUE
37.202.4.9,TRUE
162.241.226.85,TRUE
104.19.152.30,TRUE
162.241.224.182,TRUE
